[04-05-2026 21:54:58.221] [BiddingProcessorMicroservice] EVENT=cycle_start | source=/127.0.0.1:56276
[04-05-2026 21:54:58.261] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56103, body=licitez 8543
[04-05-2026 21:54:58.261] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56105, body=licitez 6896
[04-05-2026 21:54:58.262] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56107, body=licitez 4322
[04-05-2026 21:54:58.262] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56109, body=licitez 4542
[04-05-2026 21:54:58.262] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56111, body=licitez 7061
[04-05-2026 21:54:58.262] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56113, body=licitez 4948
[04-05-2026 21:54:58.262] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56115, body=licitez 4840
[04-05-2026 21:54:58.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56116, body=licitez 5887
[04-05-2026 21:54:58.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56119, body=licitez 9486
[04-05-2026 21:54:58.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56121, body=licitez 1082
[04-05-2026 21:54:58.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56123, body=licitez 4539
[04-05-2026 21:54:58.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56125, body=licitez 8019
[04-05-2026 21:54:58.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56127, body=licitez 2000
[04-05-2026 21:54:58.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56129, body=licitez 1043
[04-05-2026 21:54:58.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56131, body=licitez 1052
[04-05-2026 21:54:58.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56133, body=licitez 3777
[04-05-2026 21:54:58.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56135, body=licitez 9046
[04-05-2026 21:54:58.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56137, body=licitez 7494
[04-05-2026 21:54:58.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56139, body=licitez 7057
[04-05-2026 21:54:58.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56141, body=licitez 1127
[04-05-2026 21:54:58.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56143, body=licitez 7117
[04-05-2026 21:54:58.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56145, body=licitez 6304
[04-05-2026 21:54:58.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56147, body=licitez 9220
[04-05-2026 21:54:58.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56149, body=licitez 1629
[04-05-2026 21:54:58.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56151, body=licitez 7882
[04-05-2026 21:54:58.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56153, body=licitez 2149
[04-05-2026 21:54:58.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56155, body=licitez 5446
[04-05-2026 21:54:58.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56157, body=licitez 6879
[04-05-2026 21:54:58.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56159, body=licitez 8561
[04-05-2026 21:54:58.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56161, body=licitez 7242
[04-05-2026 21:54:58.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56163, body=licitez 3347
[04-05-2026 21:54:58.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56165, body=licitez 6042
[04-05-2026 21:54:58.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56167, body=licitez 1447
[04-05-2026 21:54:58.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56169, body=licitez 8911
[04-05-2026 21:54:58.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56171, body=licitez 7091
[04-05-2026 21:54:58.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56173, body=licitez 7847
[04-05-2026 21:54:58.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56175, body=licitez 7437
[04-05-2026 21:54:58.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56177, body=licitez 2816
[04-05-2026 21:54:58.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56179, body=licitez 4040
[04-05-2026 21:54:58.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56184, body=licitez 2188
[04-05-2026 21:54:58.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56186, body=licitez 1230
[04-05-2026 21:54:58.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56190, body=licitez 4734
[04-05-2026 21:54:58.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56191, body=licitez 6318
[04-05-2026 21:54:58.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56195, body=licitez 4032
[04-05-2026 21:54:58.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56196, body=licitez 8224
[04-05-2026 21:54:58.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56201, body=licitez 6128
[04-05-2026 21:54:58.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56202, body=licitez 1129
[04-05-2026 21:54:58.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56199, body=licitez 6398
[04-05-2026 21:54:58.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56206, body=licitez 2917
[04-05-2026 21:54:58.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56207, body=licitez 3444
[04-05-2026 21:54:58.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56211, body=licitez 8550
[04-05-2026 21:54:58.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56212, body=licitez 5050
[04-05-2026 21:54:58.272] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56216, body=licitez 9127
[04-05-2026 21:54:58.272] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56217, body=licitez 5892
[04-05-2026 21:54:58.272] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56221, body=licitez 5088
[04-05-2026 21:54:58.272] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56225, body=licitez 2818
[04-05-2026 21:54:58.272] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56227, body=licitez 3715
[04-05-2026 21:54:58.273] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56229, body=licitez 4559
[04-05-2026 21:54:58.273] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56231, body=licitez 2065
[04-05-2026 21:54:58.273] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56233, body=licitez 9634
[04-05-2026 21:54:58.273] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56235, body=licitez 2255
[04-05-2026 21:54:58.273] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56237, body=licitez 9251
[04-05-2026 21:54:58.273] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56239, body=licitez 7288
[04-05-2026 21:54:58.274] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56241, body=licitez 2382
[04-05-2026 21:54:58.274] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56243, body=licitez 9132
[04-05-2026 21:54:58.274] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56245, body=licitez 9721
[04-05-2026 21:54:58.274] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56247, body=licitez 8748
[04-05-2026 21:54:58.274] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56249, body=licitez 8060
[04-05-2026 21:54:58.274] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56251, body=licitez 6744
[04-05-2026 21:54:58.275] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56253, body=licitez 5133
[04-05-2026 21:54:58.275] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56255, body=licitez 2409
[04-05-2026 21:54:58.275] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56256, body=licitez 1924
[04-05-2026 21:54:58.275] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56258, body=licitez 4550
[04-05-2026 21:54:58.275] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56261, body=licitez 8748
[04-05-2026 21:54:58.275] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56263, body=licitez 8737
[04-05-2026 21:54:58.276] [BiddingProcessorMicroservice] EVENT=all_bids_received | count=100
[04-05-2026 21:54:58.278] [BiddingProcessorMicroservice] EVENT=winner_decided | sender=/127.0.0.1:56065, price=9746, name=Bidder 8, phone=0700000008, email=bidder8@mail.ro
[04-05-2026 21:54:58.279] [BiddingProcessorMicroservice] EVENT=cycle_end | elapsed_ms=22221
[04-05-2026 21:56:42.236] [BiddingProcessorMicroservice] EVENT=cycle_start | source=/127.0.0.1:56434
[04-05-2026 21:56:42.259] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56341, body=licitez 2018
[04-05-2026 21:56:42.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56343, body=licitez 2449
[04-05-2026 21:56:42.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56345, body=licitez 3042
[04-05-2026 21:56:42.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56347, body=licitez 5902
[04-05-2026 21:56:42.263] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56349, body=licitez 1341
[04-05-2026 21:56:42.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56351, body=licitez 3670
[04-05-2026 21:56:42.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56353, body=licitez 4644
[04-05-2026 21:56:42.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56355, body=licitez 1295
[04-05-2026 21:56:42.264] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56357, body=licitez 9920
[04-05-2026 21:56:42.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56359, body=licitez 4093
[04-05-2026 21:56:42.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56361, body=licitez 8842
[04-05-2026 21:56:42.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56363, body=licitez 3110
[04-05-2026 21:56:42.265] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56365, body=licitez 5390
[04-05-2026 21:56:42.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56367, body=licitez 1982
[04-05-2026 21:56:42.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56369, body=licitez 6242
[04-05-2026 21:56:42.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56371, body=licitez 4136
[04-05-2026 21:56:42.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56373, body=licitez 9346
[04-05-2026 21:56:42.266] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56375, body=licitez 5630
[04-05-2026 21:56:42.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56377, body=licitez 2440
[04-05-2026 21:56:42.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56379, body=licitez 6661
[04-05-2026 21:56:42.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56381, body=licitez 1458
[04-05-2026 21:56:42.267] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56383, body=licitez 1395
[04-05-2026 21:56:42.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56385, body=licitez 7475
[04-05-2026 21:56:42.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56387, body=licitez 3693
[04-05-2026 21:56:42.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56389, body=licitez 6082
[04-05-2026 21:56:42.268] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56391, body=licitez 5604
[04-05-2026 21:56:42.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56393, body=licitez 8165
[04-05-2026 21:56:42.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56395, body=licitez 9005
[04-05-2026 21:56:42.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56397, body=licitez 9590
[04-05-2026 21:56:42.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56399, body=licitez 5271
[04-05-2026 21:56:42.269] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56401, body=licitez 6700
[04-05-2026 21:56:42.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56403, body=licitez 7787
[04-05-2026 21:56:42.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56405, body=licitez 9918
[04-05-2026 21:56:42.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56407, body=licitez 9200
[04-05-2026 21:56:42.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56409, body=licitez 5105
[04-05-2026 21:56:42.270] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56411, body=licitez 7903
[04-05-2026 21:56:42.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56413, body=licitez 3180
[04-05-2026 21:56:42.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56415, body=licitez 5419
[04-05-2026 21:56:42.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56417, body=licitez 3891
[04-05-2026 21:56:42.271] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56419, body=licitez 2664
[04-05-2026 21:56:42.272] [BiddingProcessorMicroservice] EVENT=all_bids_received | count=40
[04-05-2026 21:56:42.273] [BiddingProcessorMicroservice] EVENT=winner_decided | sender=/127.0.0.1:56357, price=9920, name=Bidder 9, phone=0700000009, email=bidder9@mail.ro
[04-05-2026 21:56:42.275] [BiddingProcessorMicroservice] EVENT=cycle_end | elapsed_ms=17842
[04-05-2026 21:58:54.827] [BiddingProcessorMicroservice] EVENT=cycle_start | source=/127.0.0.1:57126
[04-05-2026 21:58:54.856] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57028, body=licitez 1400
[04-05-2026 21:58:54.859] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57030, body=licitez 1140
[04-05-2026 21:58:54.859] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57032, body=licitez 7581
[04-05-2026 21:58:54.859] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57034, body=licitez 3873
[04-05-2026 21:58:54.860] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57036, body=licitez 7818
[04-05-2026 21:58:54.860] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57038, body=licitez 9785
[04-05-2026 21:58:54.860] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57040, body=licitez 1823
[04-05-2026 21:58:54.860] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57042, body=licitez 3927
[04-05-2026 21:58:54.861] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57044, body=licitez 2873
[04-05-2026 21:58:54.861] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57046, body=licitez 6463
[04-05-2026 21:58:54.861] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57048, body=licitez 9446
[04-05-2026 21:58:54.861] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57050, body=licitez 8376
[04-05-2026 21:58:54.862] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57052, body=licitez 1277
[04-05-2026 21:58:54.862] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57054, body=licitez 5260
[04-05-2026 21:58:54.862] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57056, body=licitez 9300
[04-05-2026 21:58:54.862] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57058, body=licitez 7790
[04-05-2026 21:58:54.863] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57060, body=licitez 7920
[04-05-2026 21:58:54.863] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57062, body=licitez 8385
[04-05-2026 21:58:54.863] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57064, body=licitez 4939
[04-05-2026 21:58:54.863] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57066, body=licitez 8545
[04-05-2026 21:58:54.864] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57068, body=licitez 5877
[04-05-2026 21:58:54.864] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57070, body=licitez 4834
[04-05-2026 21:58:54.864] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57072, body=licitez 1638
[04-05-2026 21:58:54.864] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57074, body=licitez 8778
[04-05-2026 21:58:54.865] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57076, body=licitez 5655
[04-05-2026 21:58:54.865] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57078, body=licitez 8370
[04-05-2026 21:58:54.865] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57080, body=licitez 4405
[04-05-2026 21:58:54.865] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57082, body=licitez 4791
[04-05-2026 21:58:54.865] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57084, body=licitez 9482
[04-05-2026 21:58:54.866] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57086, body=licitez 6336
[04-05-2026 21:58:54.866] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57088, body=licitez 3621
[04-05-2026 21:58:54.866] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57090, body=licitez 6819
[04-05-2026 21:58:54.866] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57092, body=licitez 3637
[04-05-2026 21:58:54.867] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57094, body=licitez 7215
[04-05-2026 21:58:54.867] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57096, body=licitez 7651
[04-05-2026 21:58:54.867] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57098, body=licitez 3355
[04-05-2026 21:58:54.867] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57102, body=licitez 7120
[04-05-2026 21:58:54.867] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57104, body=licitez 3953
[04-05-2026 21:58:54.868] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57106, body=licitez 9602
[04-05-2026 21:58:54.868] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57108, body=licitez 9381
[04-05-2026 21:58:54.868] [BiddingProcessorMicroservice] EVENT=all_bids_received | count=40
[04-05-2026 21:58:54.870] [BiddingProcessorMicroservice] EVENT=winner_decided | sender=/127.0.0.1:57038, price=9785, name=Bidder 6, phone=0700000006, email=bidder6@mail.ro
[04-05-2026 21:58:54.871] [BiddingProcessorMicroservice] EVENT=cycle_end | elapsed_ms=1103
[04-05-2026 22:15:32.294] [BiddingProcessorMicroservice] EVENT=cycle_start | source=/127.0.0.1:57800
[04-05-2026 22:15:32.317] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57711, body=licitez 8508
[04-05-2026 22:15:32.321] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57713, body=licitez 1420
[04-05-2026 22:15:32.321] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57715, body=licitez 5269
[04-05-2026 22:15:32.321] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57717, body=licitez 4445
[04-05-2026 22:15:32.321] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57719, body=licitez 5023
[04-05-2026 22:15:32.322] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57721, body=licitez 6082
[04-05-2026 22:15:32.322] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57723, body=licitez 1856
[04-05-2026 22:15:32.322] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57725, body=licitez 7258
[04-05-2026 22:15:32.322] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57727, body=licitez 1926
[04-05-2026 22:15:32.323] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57729, body=licitez 9993
[04-05-2026 22:15:32.323] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57731, body=licitez 2929
[04-05-2026 22:15:32.323] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57733, body=licitez 3139
[04-05-2026 22:15:32.323] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57735, body=licitez 3645
[04-05-2026 22:15:32.324] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57737, body=licitez 1753
[04-05-2026 22:15:32.324] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57739, body=licitez 7480
[04-05-2026 22:15:32.324] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57743, body=licitez 1006
[04-05-2026 22:15:32.324] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57745, body=licitez 6126
[04-05-2026 22:15:32.325] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57747, body=licitez 5489
[04-05-2026 22:15:32.325] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57749, body=licitez 3021
[04-05-2026 22:15:32.325] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57751, body=licitez 3503
[04-05-2026 22:15:32.325] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57753, body=licitez 2197
[04-05-2026 22:15:32.326] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:57755, body=licitez 7096
