[29-04-2026 11:00:08.172] [BiddingProcessorMicroservice] EVENT=cycle_start | source=/127.0.0.1:51081
[29-04-2026 11:00:08.227] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50912, body=licitez 4243
[29-04-2026 11:00:08.227] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50914, body=licitez 8558
[29-04-2026 11:00:08.227] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50916, body=licitez 5205
[29-04-2026 11:00:08.228] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50918, body=licitez 7523
[29-04-2026 11:00:08.228] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50920, body=licitez 4379
[29-04-2026 11:00:08.228] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50922, body=licitez 4441
[29-04-2026 11:00:08.228] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50924, body=licitez 4417
[29-04-2026 11:00:08.229] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50926, body=licitez 7428
[29-04-2026 11:00:08.229] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50928, body=licitez 9989
[29-04-2026 11:00:08.229] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50930, body=licitez 3024
[29-04-2026 11:00:08.229] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50932, body=licitez 3798
[29-04-2026 11:00:08.230] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50934, body=licitez 9211
[29-04-2026 11:00:08.230] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50936, body=licitez 4540
[29-04-2026 11:00:08.230] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50938, body=licitez 6199
[29-04-2026 11:00:08.230] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50940, body=licitez 6540
[29-04-2026 11:00:08.231] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50942, body=licitez 1739
[29-04-2026 11:00:08.231] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50944, body=licitez 4322
[29-04-2026 11:00:08.231] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50946, body=licitez 5504
[29-04-2026 11:00:08.231] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50948, body=licitez 4988
[29-04-2026 11:00:08.232] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50950, body=licitez 3043
[29-04-2026 11:00:08.232] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50952, body=licitez 4933
[29-04-2026 11:00:08.233] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50954, body=licitez 2271
[29-04-2026 11:00:08.233] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50956, body=licitez 7339
[29-04-2026 11:00:08.233] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50958, body=licitez 4158
[29-04-2026 11:00:08.234] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50960, body=licitez 6115
[29-04-2026 11:00:08.234] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50962, body=licitez 6957
[29-04-2026 11:00:08.234] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50964, body=licitez 4078
[29-04-2026 11:00:08.234] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50966, body=licitez 2603
[29-04-2026 11:00:08.235] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50968, body=licitez 9971
[29-04-2026 11:00:08.235] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50970, body=licitez 2111
[29-04-2026 11:00:08.235] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50972, body=licitez 6532
[29-04-2026 11:00:08.235] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50974, body=licitez 4066
[29-04-2026 11:00:08.235] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50975, body=licitez 9919
[29-04-2026 11:00:08.236] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50978, body=licitez 1951
[29-04-2026 11:00:08.236] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50980, body=licitez 8330
[29-04-2026 11:00:08.236] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50982, body=licitez 8247
[29-04-2026 11:00:08.237] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50984, body=licitez 2377
[29-04-2026 11:00:08.237] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50986, body=licitez 2498
[29-04-2026 11:00:08.237] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50988, body=licitez 1019
[29-04-2026 11:00:08.237] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50990, body=licitez 1772
[29-04-2026 11:00:08.237] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50992, body=licitez 1068
[29-04-2026 11:00:08.238] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50994, body=licitez 7099
[29-04-2026 11:00:08.238] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50996, body=licitez 9705
[29-04-2026 11:00:08.238] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51000, body=licitez 6555
[29-04-2026 11:00:08.238] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51002, body=licitez 8276
[29-04-2026 11:00:08.238] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51004, body=licitez 3691
[29-04-2026 11:00:08.239] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51006, body=licitez 7439
[29-04-2026 11:00:08.239] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51008, body=licitez 1902
[29-04-2026 11:00:08.239] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51010, body=licitez 7067
[29-04-2026 11:00:08.239] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51012, body=licitez 5933
[29-04-2026 11:00:08.239] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51014, body=licitez 5795
[29-04-2026 11:00:08.240] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51016, body=licitez 3022
[29-04-2026 11:00:08.240] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51017, body=licitez 7017
[29-04-2026 11:00:08.240] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51019, body=licitez 4046
[29-04-2026 11:00:08.240] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51022, body=licitez 3153
[29-04-2026 11:00:08.240] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51024, body=licitez 3261
[29-04-2026 11:00:08.240] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51026, body=licitez 5682
[29-04-2026 11:00:08.241] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51028, body=licitez 9392
[29-04-2026 11:00:08.241] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51030, body=licitez 9783
[29-04-2026 11:00:08.241] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51032, body=licitez 9666
[29-04-2026 11:00:08.241] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51034, body=licitez 7208
[29-04-2026 11:00:08.242] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51036, body=licitez 6458
[29-04-2026 11:00:08.242] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51038, body=licitez 2818
[29-04-2026 11:00:08.242] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51040, body=licitez 2046
[29-04-2026 11:00:08.242] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51042, body=licitez 5614
[29-04-2026 11:00:08.243] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51044, body=licitez 8292
[29-04-2026 11:00:08.243] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51046, body=licitez 2201
[29-04-2026 11:00:08.243] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51048, body=licitez 6527
[29-04-2026 11:00:08.243] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51050, body=licitez 2545
[29-04-2026 11:00:08.243] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51052, body=licitez 2015
[29-04-2026 11:00:08.244] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51054, body=licitez 7671
[29-04-2026 11:00:08.244] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51056, body=licitez 5877
[29-04-2026 11:00:08.244] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51058, body=licitez 1132
[29-04-2026 11:00:08.244] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51060, body=licitez 3110
[29-04-2026 11:00:08.244] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51062, body=licitez 5805
[29-04-2026 11:00:08.245] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:51064, body=licitez 1274
[29-04-2026 11:00:08.245] [BiddingProcessorMicroservice] EVENT=all_bids_received | count=100
[29-04-2026 11:00:08.248] [BiddingProcessorMicroservice] EVENT=winner_decided | sender=/127.0.0.1:50928, price=9989, name=Bidder 33, phone=0700000033, email=bidder33@mail.ro
[29-04-2026 11:00:08.250] [BiddingProcessorMicroservice] EVENT=cycle_end | elapsed_ms=22285
